sentence,label
individual displayed heightened restlessness inability relax accompanied constant fidgeting muscle tension,0
sleep disturbances prevalent difficulty falling asleep frequent awakenings throughout night,0
cognitive functions appeared impacted evidenced racing thoughts inability focus tasks,0
social interactions became increasingly challenging participant expressing heightened fear judgment scrutiny,0
changes appetite noted either increased decreased food intake,0
participant exhibited excessive need reassurance validation decisionmaking,0
physical symptoms headaches trembling sweating reported without clear medical explanations,0
subject displayed chronic sense worry apprehension anticipating negative outcomes various aspects life,0
heightened startle response observed indicating exaggerated reaction perceived threats,0
individuals speech exhibited rapid pace thoughts often expressed hurried manner,0
participant described pervasive feeling edge constantly alert potential dangers,0
avoidance behaviors apparent subject actively avoiding situations perceived anxietyinducing,0
gastrointestinal symptoms nausea stomach discomfort reported relation anxious feelings,0
individual expressed fear losing control going crazy indicative heightened anxiety levels,0
emotional fluctuations observed ranging irritability tearfulness reflecting emotional toll anxiety,0
subjects ability make decisions compromised overwhelming fear making wrong choice,0
participant reported sense impending doom catastrophe contributing chronic state anxiety,0
cognitive distortions catastrophizing overestimating threats evident participants thought processes,0
individual exhibited reluctance delegate tasks expressing need control manage anxiety,0
subjects selfesteem appeared impacted tendency excessively selfcriticize doubt ones abilities,0
participant described constant sense edge unable fully relax unwind,0
avoidance social situations preference solitude evident signs social anxiety,0
physical symptoms dizziness shortness breath reported periods heightened anxiety,0
subject displayed tendency overanalyze past events seeking reassurance decisions made,0
participants fear unknown uncertainty future contributed chronic anxiety,0
individual reported sense fatigue exhaustion resulting constant state heightened arousal,0
reluctance take risks try new activities emerged coping mechanism manage anxiety,0
subject described persistent feeling overwhelmed daily responsibilities expectations,0
participants ability concentrate make decisions impaired persistent anxious thoughts,0
emotional avoidance behaviors suppressing emotions observed coping mechanisms,0
individual displayed heightened sensitivity criticism interpreting feedback threat wellbeing,0
subject reported experiencing physical symptoms heart palpitations anxietyprovoking situations,0
cognitive rigidity reluctance adapt new situations observed anxietyrelated behaviors,0
participant exhibited chronic need control various aspects life manage feelings uncertainty,0
individual reported constant state hypervigilance scanning environment potential threats,0
avoidance situations could trigger anxiety became prominent feature participants behavior,0
subject described cycle worry rumination unable break free anxious thoughts,0
emotional numbing sense detachment ones experiences noted anxietyrelated responses,0
participant displayed excessive need perfectionism fearing consequences making mistakes,0
individuals ability enjoy leisure activities compromised persistent anticipatory anxiety,0
subject exhibited reluctance delegate tasks expressing need control manage anxiety,0
participants selfesteem appeared impacted tendency excessively selfcriticize doubt ones abilities,0
subject described constant sense edge unable fully relax unwind,0
avoidance social situations preference solitude evident signs social anxiety,0
physical symptoms dizziness shortness breath reported periods heightened anxiety,0
subject displayed tendency overanalyze past events seeking reassurance decisions made,0
participants fear unknown uncertainty future contributed chronic anxiety,0
individual reported sense fatigue exhaustion resulting constant state heightened arousal,0
reluctance take risks try new activities emerged coping mechanism manage anxiety,0
subject described persistent feeling overwhelmed daily responsibilities expectations,0
participants ability concentrate make decisions impaired persistent anxious thoughts,0
emotional avoidance behaviors suppressing emotions observed coping mechanisms,0
individual displayed heightened sensitivity criticism interpreting feedback threat wellbeing,0
subject reported experiencing physical symptoms heart palpitations anxietyprovoking situations,0
cognitive rigidity reluctance adapt new situations observed anxietyrelated behaviors,0
participant exhibited chronic need control various aspects life manage feelings uncertainty,0
individual reported constant state hypervigilance scanning environment potential threats,0
avoidance situations could trigger anxiety became prominent feature participants behavior,0
subject described cycle worry rumination unable break free anxious thoughts,0
emotional numbing sense detachment ones experiences noted anxietyrelated responses,0
participant displayed excessive need perfectionism fearing consequences making mistakes,0
individuals ability enjoy leisure activities compromised persistent anticipatory anxiety,0
subject exhibited notable decline overall mood affective expression observation period,1
persistent disruptions sleep patterns including difficulty falling asleep frequent awakenings evident,1
cognitive functions appeared compromised evidenced prolonged response times difficulty concentrating routine tasks,1
social withdrawal became increasingly apparent decline interpersonal interactions preference solitude,1
individuals appetite showed significant changes marked either decrease increase food intake,1
pervasive sense hopelessness helplessness emerged participants selfreported emotional experiences,1
energy levels consistently low impacting subjects ability engage daily activities,1
heightened sensitivity perceived criticism rejection observed social interactions,1
subject displayed reluctance engage activities considered enjoyable fulfilling,1
anhedonia manifested reduced interest hobbies overall diminished capacity pleasure,1
persistent feelings worthlessness selfcritical thoughts evident participants verbal expressions,1
physical complaints headaches muscle tension reported without clear organic causes,1
participant exhibited tendency ruminate past failures negative experiences,1
recurrent thoughts death suicidal ideation subtly alluded participants discourse,1
individual displayed consistent pattern selfisolation avoiding social gatherings events,1
emotional lability observed frequent mood swings ranging irritability tearfulness,1
subject reported pervasive feeling emptiness something essential missing life,1
escapist behaviors excessive television watching compulsive internet use observed,1
subjects speech exhibited slowed pace prolonged pauses words sentences,1
participants facial expressions consistently flat lacking expected range emotional expressiveness,1
decline personal grooming hygiene noted indicative decreased investment selfcare,1
individual expressed reluctance make decisions take initiative deferring choices others,1
participant frequently reported physical complaints without apparent medical explanations,1
thoughts guilt selfblame recurrent themes participants narrative,1
subjects posture appeared slouched lethargic reflecting lack physical emotional vitality,1
decline overall motivation enthusiasm life evident participants demeanor,1
individual reported sense detachment surroundings describing feeling disconnected,1
subject exhibited heightened sensitivity environmental stimuli expressing discomfort situations previously tolerable,1
participant described persistent sense burden others,1
individuals ability experience pleasure previously enjoyable activities noticeably diminished,1
subjects thought process displayed evidence cognitive distortions allornothing thinking overgeneralization,1
sleep disturbances included insomnia hypersomnia disrupting participants circadian rhythm,1
individuals communication style shifted towards negative pessimistic language,1
participant demonstrated decreased tolerance stress increased vulnerability emotional triggers,1
subject exhibited psychomotor retardation evidenced slowed movements lack physical coordination,1
individuals social network contracted fewer interpersonal connections limited support system,1
decline personal appearance grooming habits observed consistent diminished selfcare,1
participant expressed feelings overwhelmed even minor stressors contributing sense helplessness,1
subjects decisionmaking process characterized hesitation indecisiveness,1
pervasive sense emotional numbness detachment ones experiences conveyed,1
individual reported disruptions appetite weight regulation changes eating habits,1
subjects communication style shifted towards increased selfdisclosure negative thoughts emotions,1
participant displayed reluctance discuss future plans set longterm goals,1
individuals overall level engagement social academic occupational activities declined significantly,1
